provinsi;kasus_pu;kasus_bpu;kasus_jakon;klaim_pu;klaim_bpu;klaim_jakon;total_kasus;total_klaim
Aceh;751.0;139.0;6.0;10957984180.0;965543950.0;265999320.0;896.0;12189527450.0
Bali;7225.0;2225.0;62.0;58161354130.0;15906617080.0;1699882380.0;9512.0;75767853590.0
Banten;28989.0;1135.0;369.0;278215220000.0;13240695180.0;3904049270.0;30493.0;295359964450.0
Bengkulu;942.0;59.0;5.0;4818179250.0;462121170.0;86430640.0;1006.0;5366731060.0
DI Yogyakarta;6470.0;714.0;36.0;26927986970.0;3132079890.0;815131100.0;7220.0;30875197960.0
DKI Jakarta;21034.0;1980.0;385.0;384458028960.0;29736379920.0;11044407720.0;23399.0;425238816600.0
Gorontalo;3416.0;76.0;25.0;20706463230.0;773706480.0;385050810.0;3517.0;21865220520.0
Jambi;3388.0;212.0;16.0;19730920050.0;1869576180.0;299822410.0;3616.0;21900318640.0
Jawa Barat;62808.0;2824.0;397.0;567755777440.0;29660330270.0;7393899540.0;66029.0;604810007250.0
Jawa Tengah;40589.0;2399.0;223.0;171289457585.0;16462070060.0;2271373230.0;43211.0;190022900875.0
Jawa Timur;53319.0;2810.0;474.0;403161046637.0;23638905780.0;7413098210.0;56603.0;434213050627.0
Kalimantan Barat;3496.0;448.0;29.0;31968524870.0;3033060900.0;692837320.0;3973.0;35694423090.0
Kalimantan Selatan;4447.0;319.0;31.0;42468600760.0;1833597250.0;417687920.0;4797.0;44719885930.0
Kalimantan Tengah;8859.0;149.0;13.0;67828678650.0;810074140.0;734552150.0;9021.0;69373304940.0
Kalimantan Timur;9434.0;361.0;72.0;60575075470.0;1869659520.0;1024796620.0;9867.0;63469531610.0
Kalimantan Utara;613.0;124.0;10.0;8665115110.0;1287419550.0;259160290.0;747.0;10211694950.0
Kep. Bangka Belitung;1365.0;74.0;10.0;11275628820.0;518790080.0;536029230.0;1449.0;12330448130.0
Kepulauan Riau;19664.0;666.0;187.0;117065378227.0;4478964000.0;2436853220.0;20517.0;123981195447.0
Lampung;3142.0;160.0;5.0;27813257280.0;1240337080.0;190847760.0;3307.0;29244442120.0
Maluku;183.0;23.0;3.0;6053412480.0;210252120.0;4577060.0;209.0;6268241660.0
Maluku Utara;578.0;28.0;9.0;5967463200.0;42768660.0;227694980.0;615.0;6237926840.0
Nusa Tenggara Barat;394.0;199.0;15.0;8846697690.0;1495872430.0;728913180.0;608.0;11071483300.0
Nusa Tenggara Timur;172.0;41.0;25.0;3983092950.0;619931240.0;547340400.0;238.0;5150364590.0
Papua;970.0;60.0;21.0;10810428830.0;1032737360.0;1263287180.0;1051.0;13106453370.0
Papua Barat;477.0;31.0;7.0;5433006510.0;352973580.0;765389770.0;515.0;6551369860.0
Riau;28329.0;610.0;180.0;181281614410.0;6534327750.0;5674698730.0;29119.0;193490640890.0
Sulawesi Barat;57.0;24.0;4.0;1555655250.0;122746940.0;363000000.0;85.0;2041402190.0
Sulawesi Selatan;1890.0;298.0;81.0;25367622900.0;3524875450.0;2239526100.0;2269.0;31132024450.0
Sulawesi Tengah;233.0;86.0;1.0;2281077350.0;957962070.0;9039400.0;320.0;3248078820.0
Sulawesi Tenggara;534.0;30.0;7.0;11613679410.0;277752390.0;226247910.0;571.0;12117679710.0
Sulawesi Utara;696.0;64.0;18.0;11310553310.0;1157027720.0;848915910.0;778.0;13316496940.0
Sumatera Barat;5424.0;547.0;82.0;25235237890.0;2342931700.0;1367451320.0;6053.0;28945620910.0
Sumatera Selatan;6665.0;290.0;7.0;56823581710.0;2458779060.0;401971040.0;6962.0;59684331810.0
Sumatera Utara;21302.0;716.0;156.0;118047562780.0;5272848510.0;3444020620.0;22174.0;126764431910.0
